AID,NAME,
2,Mark Hamill,
3,Harrison Ford,
4,Carrie Fisher,
5,Peter Cushing,
6,Anthony Daniels,
10,Bob Peterson,
12,Alexander Gould,
13,Albert Brooks,
14,Ellen DeGeneres,
18,Brad Garrett,
19,Allison Janney,
20,Elizabeth Perkins,
22,Barry Humphries,
31,Tom Hanks,
32,Robin Wright,
33,Gary Sinise,
34,Mykelti Williamson,
35,Sally Field,
40,Orson Welles,
48,Sean Bean,
49,Maria Bello,
50,Catherine Deneuve,
52,David Morse,
53,Peter Stormare,
62,Bruce Willis,
63,Milla Jovovich,
64,Gary Oldman,
65,Ian Holm,
66,Chris Tucker,
73,Alfred Abel,
75,Brigitte Helm,
77,Rudolf Klein-Rogge,
85,Johnny Depp,
98,Sarah Polley,
99,Amanda Plummer,
100,Scott Speedman,
103,Mark Ruffalo,
109,Elijah Wood,
110,Viggo Mortensen,
112,Cate Blanchett,
113,Christopher Lee,
114,Orlando Bloom,
116,Keira Knightley,
118,Geoffrey Rush,
131,Jake Gyllenhaal,
133,Peter Sarsgaard,
134,Jamie Foxx,
138,Quentin Tarantino,
139,Uma Thurman,
140,Lucy Liu,
141,David Carradine,
147,Michael Madsen,
155,Lucas Black,
190,Clint Eastwood,
192,Morgan Freeman,
193,Gene Hackman,
194,Richard Harris,
198,Dan Castellaneta,
199,Julie Kavner,
200,Nancy Cartwright,
204,Kate Winslet,
205,Kirsten Dunst,
206,Jim Carrey,
207,Tom Wilkinson,
212,David Cross,
225,Ashton Holmes,
227,William Hurt,
228,Ed Harris,
230,Stephen McHattie,
231,Greg Bryk,
245,Keir Dullea,
246,Gary Lockwood,
247,William Sylvester,
248,Daniel Richter,
249,Leonard Rossiter,
261,Goya Toledo,
262,Alvaro Guerrero,
270,Adriana Barraza,
280,Terry Gilliam,
287,Brad Pitt,
288,Jon Seda,
289,Madeleine Stowe,
290,Christopher Plummer,
325,Eminem,
326,Kim Basinger,
327,Mekhi Phifer,
328,Brittany Murphy,
333,Evan Jones,
335,Michael Shannon,
336,Xzibit,
343,Taryn Manning,
349,Scott Glenn,
350,Laura Linney,
351,Judy Davis,
352,Dennis Haysbert,
368,Reese Witherspoon,
378,Jonathan Pryce,
380,Robert De Niro,
381,Katherine Helmond,
382,Bob Hoskins,
383,Michael Palin,
385,Ian Richardson,
386,Peter Vaughan,
387,Kim Greist,
388,Jim Broadbent,
400,Geraldine Chaplin,
417,Ginnifer Goodwin,
418,Robert Patrick,
419,Tyler Hilton,
424,Dallas Roberts,
425,Dan John Miller,
426,Larry Bagby,
429,Lucas Till,
448,Hilary Swank,
449,Jay Baruchel,
450,Mike Colter,
452,Margo Martindale,
455,Paul Haggis,
477,Julie Walters,
478,Jamie Bell,
479,Jamie Draven,
480,Gary Lewis,
481,Jean Heywood,
486,Wallace Wolodarsky,
500,Tom Cruise,
501,Dakota Fanning,
502,Miranda Otto,
503,Justin Chatwin,
504,Tim Robbins,
514,Jack Nicholson,
515,Glenn Close,
516,Annette Bening,
517,Pierce Brosnan,
518,Danny DeVito,
519,Martin Short,
520,Sarah Jessica Parker,
521,Michael J. Fox,
522,Rod Steiger,
524,Natalie Portman,
526,Lukas Haas,
529,Guy Pearce,
530,Carrie-Anne Moss,
531,Danny Elfman,
532,Joe Pantoliano,
537,Stephen Tobolowsky,
539,Thomas Lennon,
540,Callum Keith Rennie,
569,Ethan Hawke,
571,Andrea Eckert,
573,Karl Bruckschwaiger,
585,Rutger Hauer,
586,Sean Young,
587,Edward James Olmos,
588,M. Emmet Walsh,
589,Daryl Hannah,
591,Brion James,
593,Joanna Cassidy,
649,Vernon Dobtcheff,
650,Karen Allen,
652,Paul Freeman,
653,Ronald Lacey,
655,John Rhys-Davies,
656,Denholm Elliott,
658,Alfred Molina,
659,Wolf Kahler,
670,Ben Burtt,
678,Martina Gedeck,
679,Franka Potente,
689,Kate Capshaw,
690,Jonathan Ke Quan,
691,Amrish Puri,
693,Roshan Seth,
694,Philip Stone,
707,Dan Aykroyd,
722,Jennifer Grey,
723,Patrick Swayze,
724,Cynthia Rhodes,
725,Jerry Orbach,
726,Jack Weston,
738,Sean Connery,
739,Alison Doody,
740,Julian Glover,
741,River Phoenix,
766,Ashraf Barhom,
776,Eddie Murphy,
777,Judge Reinhold,
778,John Ashton,
779,Lisa Eilbacher,
780,Ronny Cox,
781,Paul Reiser,
782,Steven Berkoff,
785,James Russo,
819,Edward Norton,
820,Edward Furlong,
821,Beverly D'Angelo,
822,Avery Brooks,
824,Ethan Suplee,
825,Stacy Keach,
826,Fairuza Balk,
827,Elliott Gould,
854,James Stewart,
855,Lee Remick,
856,Ben Gazzara,
862,George C. Scott,
863,Orson Bean,
879,Billy Bob Thornton,
880,Ben Affleck,
882,Liv Tyler,
883,Will Patton,
884,Steve Buscemi,
886,William Fichtner,
887,Owen Wilson,
921,Brigitte Nielsen,
922,Allen Garfield,
923,Dean Stockwell,
925,Paul Guilfoyle,
934,Russell Crowe,
935,Connie Nielsen,
936,Oliver Reed,
937,Derek Jacobi,
938,Djimon Hounsou,
973,Jason Flemyng,
974,Dexter Fletcher,
975,Nick Moran,
976,Jason Statham,
978,Steven Mackintosh,
980,Vinnie Jones,
1003,Jean Reno,
1004,Danny Aiello,
1010,Michael Badalucco,
1018,Nikolaj Lie Kaas,
1019,Mads Mikkelsen,
1032,Martin Scorsese,
1036,Cybill Shepherd,
1037,Harvey Keitel,
1038,Jodie Foster,
1039,Peter Boyle,
1040,Leonard Harris,
1062,Christopher Lloyd,
1063,Lea Thompson,
1064,Crispin Glover,
1065,Thomas F. Wilson,
1070,Frances Lee McCain,
1100,Arnold Schwarzenegger,
1101,Carl Weathers,
1102,Elpidia Carrillo,
1103,Bill Duke,
1104,Jesse Ventura,
1105,Sonny Landham,
1115,Stephen Graham,
1117,Dennis Farina,
1120,Lennie James,
1125,Ewen Bremner,
1137,Juliette Binoche,
1146,Julie Delpy,
1158,Al Pacino,
1159,Steven Bauer,
1160,Michelle Pfeiffer,
1161,Mary Elizabeth Mastrantonio,
1162,Robert Loggia,
1166,Harris Yulin,
1173,Mark Margolis,
1201,Garry Marshall,
1204,Julia Roberts,
1205,Richard Gere,
1206,Jason Alexander,
1208,Ralph Bellamy,
1211,Larry Miller,
1212,Laura San Giacomo,
1219,Amy Yasbeck,
1229,Jeff Bridges,
1230,John Goodman,
1231,Julianne Moore,
1233,Philip Seymour Hoffman,
1234,Tara Reid,
1236,Mark Pellegrino,
1240,Jack Kehler,
1241,John Turturro,
1243,Woody Allen,
1244,Jonathan Rhys Meyers,
1245,Scarlett Johansson,
1246,Emily Mortimer,
1247,Matthew Goode,
1248,Brian Cox,
1269,Kevin Costner,
1270,Charles Martin Smith,
1273,Jack Kehoe,
1275,Billy Drago,
1276,Patricia Clarkson,
1281,Freddie Highmore,
1282,David Kelly,
1283,Helena Bonham Carter,
1284,Noah Taylor,
1290,Jordan Fry,
1292,James Fox,
1294,Missi Pyle,
1327,Ian McKellen,
1328,Sean Astin,
1329,Billy Boyd,
1331,Hugo Weaving,
1333,Andy Serkis,
1336,Jet Li,
1341,Donnie Yen,
1369,Bernard Hill,
1370,Brad Dourif,
1371,David Wenham,
1372,Karl Urban,
1459,Tina Turner,
1461,George Clooney,
1462,Tim Blake Nelson,
1466,Charles Durning,
1471,Ed Gale,
1472,Ray McKinnon,
