1,"Top 100"
2,"Top 200"
3,"Top 500"
4,All in
5,"Angelina Jolie"
6,"Sandra Bullock"
7,"Nicole Kidman"
8,"Cameron Diaz"
9,"Anne Hathaway"
10,"Julia Roberts"
11,"Natalie Portman"
12,"Kate Winslet"
13,"Jennifer Aniston"
14,"Halle Berry"
15,"Meryl Streep"
16,"Jennifer Lawrence"
17,"Judi Dench"
18,"Brad Pitt"
19,"Leonardo DiCaprio"
20,"Christian Bale"
21,"Morgan Freeman"
22,"Johnny Depp"
23,"Tom Hanks"
24,"Bruce Willis"
25,"Liam Neeson"
26,"Russell Crowe"
27,"Matt Damon"
28,"Samuel L. Jackson"
29,"Tom Cruise"
30,"Matthew McConaughey"
31,Action
32,"Adventure"
33,"Drama"
34,"Comedy"
35,"Thriller"
36,"Crime"
37,"Science Fiction"
38,"Romance"
39,Oscar Roles
40,Oscar Movies
