"DID","NAME","DOB","IMAGE"
1,"George Lucas","5/14/1944","http://image.tmdb.org/t/p/original/8qxin8urtFE0NqaZNFWOuV537bH.jpg"
7,"Andrew Stanton","1/13/1958","http://image.tmdb.org/t/p/original/iRFkYBKXbHCMdikGOdZNEnok0XQ.jpg"
8,"Lee Unkrich","8/8/1967","http://image.tmdb.org/t/p/original/bdTCCXjgOV3YyaNmLGYGOxFQMOc.jpg"
10,"Bob Peterson","1/18/1961","http://image.tmdb.org/t/p/original/13YNM8lBKnK26MYd2Lp3OpU6JdI.jpg"
24,"Robert Zemeckis","5/14/1951","http://image.tmdb.org/t/p/original/isCuZ9PWIOyXzdf3ihodXzjIumL.jpg"
31,"Tom Hanks","7/9/1956","http://image.tmdb.org/t/p/original/a14CNByTYALAPSGlwlmfHILpEIW.jpg"
39,"Sam Mendes","8/1/1965","http://image.tmdb.org/t/p/original/6EyXTD1z4vgeT8KcUSjJZ7UPAy6.jpg"
40,"Orson Welles","5/6/1915","http://image.tmdb.org/t/p/original/pZz07JqawZP3eKUwpaAZq63vEmF.jpg"
42,"Lars von Trier","4/30/1956","http://image.tmdb.org/t/p/original/9kXaJx2N1lIfFKjZiS7ZhtrYmKK.jpg"
59,"Luc Besson","3/18/1959","http://image.tmdb.org/t/p/original/p6p5m7ZsgXk5yoNNRr4BvExZ0mV.jpg"
68,"Fritz Lang","1890-12-05","http://image.tmdb.org/t/p/original/xQads4AwWBb0ykkmTkvWKk6YEvz.jpg"
90,"Isabel Coixet","4/9/1960",""
98,"Sarah Polley","1/8/1979","http://image.tmdb.org/t/p/original/px9pkAuUh3upN8fYyPr1B6y3SNl.jpg"
108,"Peter Jackson","10/31/1961","http://image.tmdb.org/t/p/original/8MN8C1w1wuEHMxdvDqHP5bDFMh.jpg"
138,"Quentin Tarantino","3/27/1963","http://image.tmdb.org/t/p/original/6grjDWpEIPL5QdRbUZFxVEp5TCd.jpg"
150,"RZA","7/5/1969","http://image.tmdb.org/t/p/original/v5bwcyzUWVqjmczWu4PrdwnL6t6.jpg"
172,"Michael Winterbottom","3/29/1961","http://image.tmdb.org/t/p/original/qj9V9mR2HTgdP06bYyudqbIoQ0A.jpg"
183,"Kôji Morimoto","12/26/1959","http://image.tmdb.org/t/p/original/xRs1ulNnfLs5kkZcINkd73NgwnE.jpg"
185,"Katsuhiro Ōtomo","4/14/1954","http://image.tmdb.org/t/p/original/d3TPHQkTqAe3NeZZ280TqBa2x43.jpg"
190,"Clint Eastwood","5/31/1930","http://image.tmdb.org/t/p/original/n8h4ZHteFFXfmzUW6OEaPWanDnm.jpg"
197,"David Silverman","3/15/1957","http://image.tmdb.org/t/p/original/oatUUj2riEaUSoncMv1Ulheffog.jpg"
201,"Michel Gondry","5/8/1963","http://image.tmdb.org/t/p/original/a0uLwuRoAiELs02gJhNX14WqzV9.jpg"
202,"Charlie Kaufman","11/19/1958","http://image.tmdb.org/t/p/original/v5Zc2aplTL0y38Oe91zGnVBUtYi.jpg"
223,"Alejandro González Iñárritu","8/15/1963","http://image.tmdb.org/t/p/original/qh6Bom66huviIJ2HheE29kI7y96.jpg"
224,"David Cronenberg","3/15/1943","http://image.tmdb.org/t/p/original/7Ot4rmLcEXrE42GulBpkgPfxS8k.jpg"
228,"Ed Harris","11/28/1950","http://image.tmdb.org/t/p/original/a9ITc3shCAWjV4qKf3rgR0Opu3y.jpg"
240,"Stanley Kubrick","7/26/1928","http://image.tmdb.org/t/p/original/6Yzjg7HFhu2dQmEjWAAMLSDBfUq.jpg"
280,"Terry Gilliam","11/22/1940","http://image.tmdb.org/t/p/original/cFno5isSPvfPEkSdVoEzOs0pJCh.jpg"
309,"Pedro Almodóvar","9/24/1949","http://image.tmdb.org/t/p/original/Y32fKy8z0xTRq4LESm2yN6W7NJ.jpg"
323,"Curtis Hanson","3/24/1945","http://image.tmdb.org/t/p/original/e8o4pYzVjh4ier1n0bxD78HCbxg.jpg"
366,"James Mangold","12/16/1963","http://image.tmdb.org/t/p/original/1gt0VmCyBHhQLKhaBDCEIwvRWe.jpg"
380,"Robert De Niro","8/17/1943","http://image.tmdb.org/t/p/original/8Bgdfv1oN9Mw0YuMHP6fw8KzDkc.jpg"
455,"Paul Haggis","3/10/1953","http://image.tmdb.org/t/p/original/v2MadHJVrBAv0tEgs9H9PJ9y50z.jpg"
