"AID","TMDB_ID","CHAR_NAME"
3129,5,"Ted the bellhop"
3124,5,"Athena"
3127,5,"Raven"
3128,5,"Elspeth's Girl"
3125,5,"Elspeth"
13,12,"Marlin"
14,12,"Dory"
18,12,"Bloat"
5293,12,"Gill"
12,12,"Nemo"
32,13,"Jenny Curran"
33,13,"Lt. Dan Taylor"
9640,13,"Forrest Jr."
35,13,"Mrs. Gump"
34,13,"Bubba Blue"
1979,14,"Lester Burnham"
516,14,"Carolyn Burnham"
8211,14,"Angela Hayes"
8210,14,"Ricky Fitts"
2155,14,"Jane Burnham"
40,15,"Charles Foster Kane"
11029,15,"Susan Alexander"
11028,15,"Walter Parks Thatcher"
11027,15,"Bernstein"
7664,15,"Jedediah Leland"
50,16,"Kathy"
6748,16,"Oldrich"
53,16,"Jeff"
52,16,"Bill"
62,18,"Korben Dallas"
65,18,"Cornelius"
8395,18,"Billy"
66,18,"Ruby Rhod"
64,18,"Zorg"
73,19,"Joh Fredersen"
77,19,"Rotwang"
75,19,"Maria/The Machine Man"
85,22,"Jack Sparrow"
118,22,"Captain Barbossa"
1709,22,"Norrington"
116,22,"Elizabeth Swann"
114,22,"Will Turner"
139,24,"The Bride/Black Mamba"
140,24,"O-Ren Ishii/Cottonmouth"
589,24,"Elle Driver/California Mountain Snake"
141,24,"Bill"
2535,24,"Vernita Green/Copperhead"
131,25,"Anthony Swofford"
133,25,"Allen Troy"
134,25,"Staff Sgt. Sykes"
2955,25,"Lt. Col. Kazinski"
155,25,"Chris Kruge"
8349,28,"Capt. Benjamin Willard"
3084,28,"Col. Kurtz"
8350,28,"Lance"
8351,28,"Chef Hicks"
3087,28,"Lt. Col. Kilgore"
190,33,"William Munny"
193,33,"Little Bill Daggett"
3712,33,"W W. Beauchamp"
194,33,"English Bob"
192,33,"Ned Logan"
199,35,"Marge"
198,35,"Homer/Itchy/Barney/Grampa/Krusty/Mayor Quimby/Mel"
6008,35,"Scratchy/Mr. Burns/Moe/Chief Wiggum/Ned Flanders"
5586,35,"Lisa"
200,35,"Bart/Maggie/Ralph/Todd Flanders/TV Daughter"
206,38,"Joel Barish"
204,38,"Clementine Kruczynski"
109,38,"Patrick"
103,38,"Stan"
205,38,"Mary"
262,55,"Daniel"
261,55,"Valeria"
116,58,"Elizabeth Swann"
114,58,"Will Turner"
85,58,"Jack Sparrow"
1709,58,"Norrington"
110,59,"Tom Stall"
49,59,"Edie Stall"
225,59,"Jack Stall"
227,59,"Richie Cusack"
228,59,"Carl Fogarty"
245,62,"David Bowman"
246,62,"Frank Poole"
249,62,"Smyslov"
248,62,"Moonwatcher"
247,62,"Dr. Floyd"
62,63,"James Cole"
289,63,"Dr. Kathryn Railly"
288,63,"Jose"
290,63,"Dr. Goines"
287,63,"Jeffrey Goines"
325,65,"Jimmy `Rabbit' Smith"
326,65,"Stephanie"
333,65,"Cheddar Bob"
328,65,"Alex"
327,65,"Future"
378,68,"Sam Lowry"
380,68,"Archibald 'Harry' Tuttle"
381,68,"Ida Lowry"
387,68,"Jill Layton"
383,68,"Jack Lint"
73421,69,"Johnny Cash"
368,69,"June Carter"
425,69,"Luther Perkins"
424,69,"Sam Phillips"
417,69,"Vivian Cash"
190,70,"Frankie Dunn"
448,70,"Maggie Fitzgerald"
450,70,"Big Willie Little"
449,70,"Danger Barch"
192,70,"Eddie `Scrap-Iron' Dupris"
478,71,"Billy Elliot"
477,71,"Mrs. Wilkinson"
481,71,"Grandma"
480,71,"Dad"
479,71,"Tony Elliot"
819,73,"Derek Vinyard"
822,73,"Sweeney"
820,73,"Danny Vinyard"
826,73,"Stacey"
825,73,"Cameron"
500,74,"Ray Ferrier"
501,74,"Rachel Ferrier"
504,74,"Harlan Ogilvy"
502,74,"Mary Ann"
